Sample,Recovery
homo19,0.9491946176196789
homo20,0.9265987757059437
homo12,0.9254703940872803
homo1,0.9244125363197834
homo18,0.9222686112443228
homo14,0.9208158199102937
homo3,0.918714209145533
homo8,0.9176986656887359
homo5,0.9162035600440069
homo10,0.9154277976811758
homo22,0.9149482354932438
homo6,0.9140737397387797
homo4,0.9139750063471466
homo2,0.9126209484047505
homo9,0.9115771954074868
homo11,0.9046376484527067
homo7,0.9018307991762814
homo21,0.8995599311687212
homo13,0.8971339106885949
homo15,0.5717650709469942
homo17,0.5601709498152275
homo16,0.5501847724900562
